"time","medi_type","cpi","drug","material","treatment"
"201101","q8",100,1,1,1
"201101","q8",100,1,1,1
"201101","17",100,1,1,1
"201101","17",100,1,1,1
"201102","q8",101.44,1.0056,0.9922,1.0377
"201102","q8",101.44,1.0094,0.9842,1.0168
"201102","17",101.09,1.0056,0.9922,1.0377
"201102","17",101.09,1.0094,0.9842,1.0168
"201103","17",102.82,1.0374,0.9892,1.0658
"201103","17",102.82,1.0211,1.017,1.0496
"201103","q8",103.71,1.0374,0.9892,1.0658
"201103","q8",103.71,1.0211,1.017,1.0496
"201104","17",100.81,1.0131,1.0278,1.0926
"201104","17",100.81,0.997,0.9935,1.0389
"201104","q8",102.94,1.0131,1.0278,1.0926
"201104","q8",102.94,0.997,0.9935,1.0389
"201105","17",100.75,1.0353,1.0349,1.0869
"201105","17",100.75,0.9969,0.9576,1.0374
"201105","q8",104.43,1.0353,1.0349,1.0869
"201105","q8",104.43,0.9969,0.9576,1.0374
"201106","17",100.37,1.025,1.0276,1.115
"201106","17",100.37,0.9889,1.0231,1.0417
"201106","q8",104.74,1.025,1.0276,1.115
"201106","q8",104.74,0.9889,1.0231,1.0417
"201107","17",104.09,1.0513,1.0275,1.2167
"201107","17",104.09,1.0107,0.9854,1.1125
"201107","q8",111.44,1.0513,1.0275,1.2167
"201107","q8",111.44,1.0107,0.9854,1.1125
"201108","17",104.16,1.0541,1.0454,1.214
"201108","17",104.16,1.015,0.9871,1.0967
"201108","q8",111.97,1.0541,1.0454,1.214
"201108","q8",111.97,1.015,0.9871,1.0967
"201109","17",105.57,1.0846,1.0363,1.2232
"201109","17",105.57,1.0318,0.9491,1.0982
"201109","q8",113.74,1.0846,1.0363,1.2232
"201109","q8",113.74,1.0318,0.9491,1.0982
"201110","17",105.5,1.0909,1.0313,1.2476
"201110","17",105.5,1.0299,0.9785,1.1011
"201110","q8",114.89,1.0909,1.0313,1.2476
"201110","q8",114.89,1.0299,0.9785,1.1011
"201111","17",109.07,1.126,1.0336,1.2457
"201111","17",109.07,1.0728,0.9905,1.1119
"201111","q8",116.74,1.126,1.0336,1.2457
"201111","q8",116.74,1.0728,0.9905,1.1119
"201112","17",110.5,1.1517,1.0968,1.3556
"201112","17",110.5,1.0908,0.9765,1.116
"201112","q8",123.76,1.1517,1.0968,1.3556
"201112","q8",123.76,1.0908,0.9765,1.116
"201201","17",110.27,1.197,1.0794,1.3609
"201201","17",110.27,1.0884,1.0297,1.117
"201201","q8",127.41,1.197,1.0794,1.3609
"201201","q8",127.41,1.0884,1.0297,1.117
"201202","17",109.47,1.2073,1.0829,1.3539
"201202","17",109.47,1.0708,1.032,1.1392
"201202","q8",128.04,1.2073,1.0829,1.3539
"201202","q8",128.04,1.0708,1.032,1.1392
"201203","17",112.37,1.2252,1.082,1.3692
"201203","17",112.37,1.0974,1.0335,1.179
"201203","q8",129.32,1.2252,1.082,1.3692
"201203","q8",129.32,1.0974,1.0335,1.179
"201204","17",112.1,1.2408,1.0672,1.3759
"201204","17",112.1,1.0949,1.0646,1.1662
"201204","q8",130.24,1.2408,1.0672,1.3759
"201204","q8",130.24,1.0949,1.0646,1.1662
"201205","17",112.21,1.2449,1.0631,1.376
"201205","17",112.21,1.0912,1.074,1.1846
"201205","q8",130.72,1.2449,1.0631,1.376
"201205","q8",130.72,1.0912,1.074,1.1846
"201206","17",111.36,1.2454,1.066,1.3749
"201206","17",111.36,1.0829,1.0649,1.1754
"201206","q8",130.45,1.2454,1.066,1.3749
"201206","q8",130.45,1.0829,1.0649,1.1754
"201207","17",116.71,1.2537,1.0413,1.3816
"201207","17",116.71,1.1066,1.0729,1.3764
"201207","q8",131.32,1.2537,1.0413,1.3816
"201207","q8",131.32,1.1066,1.0729,1.3764
"201208","17",118.37,1.2995,1.0441,1.3914
"201208","17",118.37,1.1271,1.089,1.3704
"201208","q8",134.85,1.2995,1.0441,1.3914
"201208","q8",134.85,1.1271,1.089,1.3704
"201209","17",120.44,1.3039,1.0375,1.396
"201209","17",120.44,1.1473,1.1773,1.3687
"201209","q8",135.25,1.3039,1.0375,1.396
"201209","q8",135.25,1.1473,1.1773,1.3687
"201210","17",121.16,1.3427,1.0617,1.3922
"201210","17",121.16,1.1527,1.2525,1.3673
"201210","q8",138.87,1.3427,1.0617,1.3922
"201210","q8",138.87,1.1527,1.2525,1.3673
"201211","17",125.29,1.3471,1.0765,1.4096
"201211","17",125.29,1.196,1.2574,1.389
"201211","q8",139.97,1.3471,1.0765,1.4096
"201211","q8",139.97,1.196,1.2574,1.389
"201212","17",127.33,1.3521,1.0895,1.405
"201212","17",127.33,1.2191,1.287,1.3991
"201212","q8",141,1.3521,1.0895,1.405
"201212","q8",141,1.2191,1.287,1.3991
"201301","17",131.38,1.3537,1.0921,1.4065
"201301","17",131.38,1.2377,1.3344,1.5453
"201301","q8",140.85,1.3537,1.0921,1.4065
"201301","q8",140.85,1.2377,1.3344,1.5453
"201302","17",131.89,1.3238,1.0915,1.4024
"201302","17",131.89,1.2435,1.431,1.5355
"201302","q8",138.83,1.3238,1.0915,1.4024
"201302","q8",138.83,1.2435,1.431,1.5355
"201303","17",134.72,1.3285,1.0993,1.4104
"201303","17",134.72,1.2619,1.4885,1.6079
"201303","q8",139.28,1.3285,1.0993,1.4104
"201303","q8",139.28,1.2619,1.4885,1.6079
"201304","17",135.02,1.349,1.1115,1.4111
"201304","17",135.02,1.2565,1.4294,1.6453
"201304","q8",140.48,1.349,1.1115,1.4111
"201304","q8",140.48,1.2565,1.4294,1.6453
"201305","17",134.98,1.3807,1.1061,1.3967
"201305","17",134.98,1.2562,1.4169,1.6459
"201305","q8",141.36,1.3807,1.1061,1.3967
"201305","q8",141.36,1.2562,1.4169,1.6459
"201306","17",134.62,1.4094,1.1048,1.4057
"201306","17",134.62,1.2524,1.4033,1.6601
"201306","q8",143.76,1.4094,1.1048,1.4057
"201306","q8",143.76,1.2524,1.4033,1.6601
"201307","17",138.95,1.4228,1.1066,1.4071
"201307","17",138.95,1.2626,1.448,1.7635
"201307","q8",144.56,1.4228,1.1066,1.4071
"201307","q8",144.56,1.2626,1.448,1.7635
"201308","17",139.74,1.4136,1.1262,1.4021
"201308","17",139.74,1.2783,1.4149,1.7374
"201308","q8",143.95,1.4136,1.1262,1.4021
"201308","q8",143.95,1.2783,1.4149,1.7374
"201309","17",140.92,1.4332,1.1368,1.4118
"201309","17",140.92,1.292,1.4456,1.74
"201309","q8",145.48,1.4332,1.1368,1.4118
"201309","q8",145.48,1.292,1.4456,1.74
"201310","17",141.4,1.2971,1.5047,1.7453
"201310","17",141.4,1.4598,1.1445,1.437
"201310","q8",148.15,1.2971,1.5047,1.7453
"201310","q8",148.15,1.4598,1.1445,1.437
"201311","17",146.1,1.3487,1.5145,1.7737
"201311","17",146.1,1.4632,1.1417,1.4324
"201311","q8",147.93,1.3487,1.5145,1.7737
"201311","q8",147.93,1.4632,1.1417,1.4324
"201312","17",146.58,1.3556,1.4613,1.7724
"201312","17",146.58,1.4873,1.1441,1.4393
"201312","q8",149.81,1.3556,1.4613,1.7724
"201312","q8",149.81,1.4873,1.1441,1.4393
"201401","17",148.83,1.3828,1.4553,1.7727
"201401","17",148.83,1.5171,1.1428,1.442
"201401","q8",151.9,1.3828,1.4553,1.7727
"201401","q8",151.9,1.5171,1.1428,1.442
"201402","17",149.85,1.3887,1.51,1.7944
"201402","17",149.85,1.5544,1.1458,1.444
"201402","q8",154.32,1.3887,1.51,1.7944
"201402","q8",154.32,1.5544,1.1458,1.444
"201403","17",152.86,1.4095,1.5404,1.8603
"201403","17",152.86,1.5573,1.1509,1.4474
"201403","q8",154.56,1.4095,1.5404,1.8603
"201403","q8",154.56,1.5573,1.1509,1.4474
"201404","17",150.09,1.386,1.5126,1.8181
"201404","17",150.09,1.5708,1.1435,1.4561
"201404","q8",155.29,1.386,1.5126,1.8181
"201404","q8",155.29,1.5708,1.1435,1.4561
"201405","17",155.85,1.3808,1.5378,2.0063
"201405","17",155.85,1.5862,1.1496,1.4626
"201405","q8",156.77,1.3808,1.5378,2.0063
"201405","q8",156.77,1.5862,1.1496,1.4626
"201406","17",156.62,1.3912,1.5314,2.0056
"201406","17",156.62,1.5911,1.1558,1.4672
"201406","q8",157.2,1.3912,1.5314,2.0056
"201406","q8",157.2,1.5911,1.1558,1.4672
"201407","17",161.56,1.4009,1.608,2.1316
"201407","17",161.56,1.6238,1.1463,1.4744
"201407","q8",159.21,1.4009,1.608,2.1316
"201407","q8",159.21,1.6238,1.1463,1.4744
"201408","17",160.71,1.4008,1.5495,2.1091
"201408","17",160.71,1.6594,1.1322,1.4843
"201408","q8",161.73,1.4008,1.5495,2.1091
"201408","q8",161.73,1.6594,1.1322,1.4843
"201409","17",162.37,1.4194,1.5708,2.1154
"201409","17",162.37,1.6676,1.1535,1.4798
"201409","q8",162.1,1.4194,1.5708,2.1154
"201409","q8",162.1,1.6676,1.1535,1.4798
"201410","17",167.97,1.4307,1.559,2.3155
"201410","17",167.97,1.6623,1.1583,1.4858
"201410","q8",161.91,1.4307,1.559,2.3155
"201410","q8",161.91,1.6623,1.1583,1.4858
"201411","17",172.65,1.4825,1.6239,2.3293
"201411","17",172.65,1.7046,1.1578,1.4892
"201411","q8",164.81,1.4825,1.6239,2.3293
"201411","q8",164.81,1.7046,1.1578,1.4892
"201412","17",178.38,1.4985,1.6195,2.5636
"201412","17",178.38,1.7051,1.1615,1.6122
"201412","q8",169.22,1.4985,1.6195,2.5636
"201412","q8",169.22,1.7051,1.1615,1.6122
"201501","17",176.48,1.4825,1.6111,2.5467
"201501","17",176.48,1.7352,1.1645,1.6206
"201501","q8",171.49,1.4825,1.6111,2.5467
"201501","q8",171.49,1.7352,1.1645,1.6206
"201502","17",181.26,1.5349,1.6393,2.5522
"201502","17",181.26,1.7334,1.2196,1.5989
"201502","q8",170.9,1.5349,1.6393,2.5522
"201502","q8",170.9,1.7334,1.2196,1.5989
"201503","17",184.2,1.5497,1.6761,2.6322
"201503","17",184.2,1.759,1.2191,1.6118
"201503","q8",172.61,1.5497,1.6761,2.6322
"201503","q8",172.61,1.759,1.2191,1.6118
"201504","17",184.45,1.5352,1.8094,2.6224
"201504","17",184.45,1.7761,1.2223,1.611
"201504","q8",173.69,1.5352,1.8094,2.6224
"201504","q8",173.69,1.7761,1.2223,1.611
"201505","17",184.36,1.5335,1.8086,2.6298
"201505","17",184.36,1.7817,1.2243,1.6305
"201505","q8",174.9,1.5335,1.8086,2.6298
"201505","q8",174.9,1.7817,1.2243,1.6305
"201506","17",185.01,1.5347,1.7789,2.6327
"201506","17",185.01,1.8022,1.2255,1.6282
"201506","q8",175.92,1.5347,1.7789,2.6327
"201506","q8",175.92,1.8022,1.2255,1.6282
"201507","17",189.57,1.543,1.7726,2.7831
"201507","17",189.57,1.8186,1.215,1.6341
"201507","q8",176.83,1.543,1.7726,2.7831
"201507","q8",176.83,1.8186,1.215,1.6341
"201508","17",190.71,1.5617,1.7571,2.7499
"201508","17",190.71,1.8665,1.1946,1.7654
